Feature,Feature Value,SHAP Value,Absolute Value,Category
dl_total_bytes_non_incr_28,2255181.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_29,2250779.0,0.0,0.0,dl_bitrate
ul_bitrate_29,140372.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_29,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_29,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_29,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_29,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_29,68964.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_29,1415084.0,0.0,0.0,dl_total_bytes_non_incr
ul_bitrate_30,234964.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_30,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_30,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_30,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_30,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_30,120588.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_30,3531715.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_31,2101581.0,0.0,0.0,dl_bitrate
ul_bitrate_31,814922.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_31,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_31,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_31,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_31,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_31,477777.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_31,1299332.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_32,2106247.0,0.0,0.0,dl_bitrate
ul_bitrate_32,875502.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_32,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_32,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_32,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_32,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_32,500469.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_32,1302104.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_33,2330000.0,0.0,0.0,dl_bitrate
ul_bitrate_33,916776.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_33,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_33,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_33,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_33,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_33,519582.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_33,1358339.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_34,3829332.0,0.0,0.0,dl_bitrate
ul_bitrate_34,714056.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_34,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_34,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_34,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_34,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_34,406821.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_34,2474490.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_35,2249430.0,0.0,0.0,dl_bitrate
ul_bitrate_35,138311.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_35,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_35,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_35,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_35,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_35,67478.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_35,1384140.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_36,4400912.0,0.0,0.0,dl_bitrate
ul_bitrate_36,157871.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_36,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_36,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_36,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_36,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_36,77499.0,0.0,0.0,ul_total_bytes_non_incr
dl_bitrate_37,3148006.0,0.0,0.0,dl_bitrate
ul_bitrate_37,729437.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_37,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_37,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_37,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_37,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_37,425110.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_37,2105888.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_38,1959105.0,0.0,0.0,dl_bitrate
ul_bitrate_38,769797.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_38,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_38,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_38,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_38,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_38,461910.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_38,1193219.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_39,2023438.0,0.0,0.0,dl_bitrate
ul_bitrate_39,748977.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_39,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_39,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_39,-1.0,0.0,0.0,cell_x_ul_retx
